,sector,m,d,p,sec_loading,t
117,2,-951.6039338,78.34870105,0.005841947,0.41,-2.521550389435359
118,2,-1202.347256,45.15393173,0.005061405,0.41,-2.5716057313234773
119,5,66.27766933,4.691939027,0.013449124,0.64,-2.212991263132766
120,5,-77.66316711,8.855374355,0.016629947,0.64,-2.128931912907128
121,2,-1145.598533,73.17132252,0.006594923,0.41,-2.4786018169140043
122,3,67.23261354,1.682531946,0.010186782,0.415,-2.3193961909321774
123,2,-546.7291822,57.28908392,0.005952028,0.41,-2.5149757839177704
124,5,38.79702918,0.02039704,0.013930591,0.64,-2.1992354903393174
125,5,24.89533958,2.32580773,0.015234152,0.64,-2.1639484752581746
126,5,-87.40106182,15.36528694,0.014507053,0.64,-2.183294817012247
127,2,735.7276892,12.98889062,0.004461504,0.41,-2.614989953729736
128,2,-1031.781801,61.97438063,0.006255044,0.41,-2.4974194586076637
129,5,80.1515221,15.03992721,0.015427212,0.64,-2.158945130768209
130,3,61.89285341,3.143025244,0.00998183,0.415,-2.3270301616087785
131,6,-36.58042591,2.462379613,0.00917014,0.403,-2.3586756084221725
132,6,-58.60579892,7.863727874,0.012458937,0.403,-2.242673542005148
133,1,-42.85304011,14.89478935,0.015715972,0.49,-2.1515610326181505
134,5,-113.984817,22.78533033,0.015042909,0.64,-2.1689587204661387
135,1,-80.90086327,10.85259921,0.003034197,0.49,-2.7440627328969933
136,6,-42.79801968,5.280586462,0.022129701,0.403,-2.011625758493147
137,6,94.44799833,11.79606755,0.008750006,0.403,-2.376030588943629
138,5,17.91437089,0.850044061,0.01722694,0.64,-2.1147192815824973
139,3,58.3316438,2.792379481,0.011202984,0.415,-2.283414431137786
140,6,-25.10017264,2.713251206,0.012228694,0.403,-2.249867020800949
141,2,-896.4776643,10.61822328,0.00404942,0.41,-2.6479212025221495
142,2,-1122.398037,16.66941809,0.006343579,0.41,-2.4924321164402103
143,5,-71.39865239,12.7443948,0.013198503,0.64,-2.2203206964179842
144,1,66.27244062,12.30385168,0.003854958,0.49,-2.6645161685000702
145,2,-539.9748825,35.26254112,0.00400989,0.41,-2.6512359241847703
146,3,-59.47391053,1.013068689,0.00790735,0.415,-2.41316404178507
147,6,65.9664566,11.97265087,0.009288854,0.403,-2.3538980008332713
148,6,90.89203805,9.105046204,0.014240605,0.403,-2.190593664934765
149,6,-63.9389169,11.72182505,0.014146047,0.403,-2.1932121994139573
150,2,-1200.213691,79.51629721,0.005850751,0.41,-2.5210205442626625
151,2,-914.2597562,30.87342959,0.006069993,0.41,-2.508048915971481
152,2,-836.2771183,62.1073468,0.005334916,0.41,-2.5533301001312685
153,2,960.970301,62.86537912,0.004722063,0.41,-2.595544182217283
154,5,114.6232254,17.7022796,0.014588942,0.64,-2.1810748053957396
155,5,112.9468476,19.81912858,0.01628226,0.64,-2.1374117077182584
156,6,-75.58482254,5.658952001,0.020245888,0.403,-2.048696762359967
157,2,-313.3674393,18.8688714,0.004645808,0.41,-2.601133972297996
158,2,-347.9637979,50.96158303,0.003755238,0.41,-2.673319150065851
159,5,93.31184478,5.342626915,0.016314362,0.64,-2.13662230420326
160,1,-83.98657113,10.76897911,0.004200119,0.49,-2.6355446227791144
161,5,-100.6338269,16.78950619,0.013095002,0.64,-2.223382718459879
162,5,-108.3653526,5.194213874,0.015802827,0.64,-2.1493627733967777
163,2,381.6429269,53.37193423,0.005100596,0.41,-2.5689338785608933
164,6,63.73395978,4.36986361,0.019200407,0.403,-2.0705505865689386
165,6,-54.19064292,7.88250886,0.008548888,0.403,-2.3845983744578656
166,5,5.796730262,0.437046547,0.016500386,0.64,-2.13207389841271
167,5,61.30661604,0.575836209,0.016048731,0.64,-2.1431947709246586
168,5,120.5759097,19.85036565,0.01529484,0.64,-2.1623698448623934
169,6,62.8883477,1.458401215,0.012906515,0.403,-2.2290131477316093
170,1,-48.0875409,10.52225755,0.012461272,0.49,-2.2426011814312576
171,6,-16.89688951,0.663198612,0.013723364,0.403,-2.2051049901710584
172,5,-119.2997941,5.663102548,0.013446415,0.64,-2.2130698551571353
173,2,888.9706662,95.89473317,0.005671371,0.41,-2.531958484639252
174,1,50.85703266,12.57087766,0.014701712,0.49,-2.1780350956037786
175,2,803.6943197,30.49738423,0.005637117,0.41,-2.534082017997151
176,6,-61.59280594,5.950463245,0.013621158,0.403,-2.2080280770109546
177,6,-52.63329435,3.939774039,0.010509934,0.403,-2.3076274213589865
178,2,-1096.22655,40.19827208,0.005366611,0.41,-2.5512664950031545
179,5,-48.46325581,4.184463421,0.016483514,0.64,-2.132484614160845
180,5,118.5710955,23.12622059,0.015083241,0.64,-2.1678975541808403
181,2,564.1128053,101.413624,0.003891502,0.41,-2.661341217112062
182,6,94.75282609,5.211179344,0.0160583,0.403,-2.142956393864255
183,5,70.87048403,8.162352938,0.013141339,0.64,-2.2220092867815295
184,5,6.587749305,0.013604154,0.013296263,0.64,-2.217447512669922
185,2,383.2119807,89.71536327,0.005738643,0.41,-2.527820973119683
186,3,-54.81226348,2.121733543,0.011513153,0.415,-2.27299790812842
187,5,-121.5886755,22.48195156,0.014302239,0.64,-2.1888949254382513
188,2,-331.129909,14.77275864,0.006290963,0.41,-2.4953885865609364
189,5,52.95259383,8.179087689,0.015310372,0.64,-2.16196668759563
190,5,100.2184581,8.697153746,0.017433505,0.64,-2.1098995388168587
191,2,-400.2565604,38.64064666,0.004010218,0.41,-2.6512083001503406
192,5,110.408343,19.04001501,0.01518621,0.64,-2.16519937752238
193,2,1153.661394,44.5651718,0.006444907,0.41,-2.486799172598822
194,2,341.3849398,105.9817918,0.005562921,0.41,-2.5387212799166012
195,2,526.0163421,72.99525242,0.003812126,0.41,-2.66827194019964
196,2,638.6053283,30.47832206,0.006031916,0.41,-2.510271643914238
197,5,12.950541,1.870506804,0.0125509,0.64,-2.2398324861588184
198,5,42.60199911,3.42325386,0.015307672,0.64,-2.162036745073404
199,2,-1005.765461,14.91890645,0.006208673,0.41,-2.500056616784186
200,5,118.5957891,4.881096216,0.014893229,0.64,-2.172918418016645
201,2,-609.7001337,30.00980897,0.005004147,0.41,-2.5755426131817605
202,2,-1157.04092,34.82892678,0.005107218,0.41,-2.568484228774924
203,2,-881.8706674,102.5154241,0.003851918,0.41,-2.6647814980752287
204,6,-59.5197521,10.48918555,0.008428583,0.403,-2.389808365254924
205,6,-56.07071959,6.03142306,0.021082061,0.403,-2.031896627875778
206,3,59.3585454,3.746618368,0.008450496,0.415,-2.388854549208904
207,5,-45.37066529,2.810904614,0.015559912,0.64,-2.155537159743359
208,5,35.47943814,0.833927784,0.01370956,0.64,-2.2054986845854847
209,5,50.04825565,3.237701285,0.013287881,0.64,-2.217693144589631
210,2,-721.2267344,90.5868558,0.004537265,0.41,-2.609233493793723
211,2,986.2034916,77.55948318,0.005241181,0.41,-2.5594974661726777
212,5,90.65308048,12.11274111,0.0166857,0.64,-2.1275862892258544
213,6,-78.63656257,0.76170492,0.014735055,0.403,-2.177140179278151
214,1,34.83857773,14.23532335,0.01207683,0.49,-2.254676209629915
215,6,-37.59128292,2.353251002,0.009277949,0.403,-2.3543346332606507
216,6,94.1140195,18.66546747,0.014559743,0.403,-2.1818651574918553
217,2,826.2337919,15.14472127,0.005491028,0.41,-2.5432692725260955
218,6,-55.32972914,8.888772639,0.017726837,0.403,-2.1031383897647036
219,5,-4.523926289,0.841006317,0.015182705,0.64,-2.165290962968695
220,5,-22.08446273,2.576193299,0.017381112,0.64,-2.111117379079003
221,2,-629.1037122,30.81010355,0.004420582,0.41,-2.6181356937551663
222,2,-842.5671691,100.5180813,0.00581489,0.41,-2.5231831881069717
223,1,-65.18543792,11.18560819,0.002755638,0.49,-2.775524421797276
224,6,82.89412511,3.368079594,0.022345276,0.403,-2.007555456329843
225,2,-789.7780687,92.86871259,0.005245682,0.41,-2.559199085556953
226,3,-53.88876051,3.638460215,0.012395248,0.415,-2.244651777979527
227,3,-61.3833308,1.871956948,0.00783239,0.415,-2.416633517621943
228,2,-748.7727296,63.22448001,0.00567235,0.41,-2.531897960325904
229,6,89.29565562,5.720566632,0.02194216,0.403,-2.0151940569180034
230,5,120.5033296,23.83917287,0.015174678,0.64,-2.165500776464707
231,2,-883.4182645,23.00394785,0.005049537,0.41,-2.572418468028901
232,6,-17.27765497,0.226372662,0.014267748,0.403,-2.189844778200114
233,2,696.7607101,53.44412426,0.006059604,0.41,-2.5086541406153384
234,5,-118.0266645,4.108817948,0.013450871,0.64,-2.212940587374421
235,2,314.3315919,58.83963584,0.006462431,0.41,-2.4858329507347054
236,5,-64.88791672,7.612198053,0.016975633,0.64,-2.120650013191201
237,5,-22.13329223,3.645794915,0.014159785,0.64,-2.192830827174431
238,2,-872.3941156,65.25052829,0.006255823,0.41,-2.497375304271346
239,6,32.2436176,2.635464539,0.012334556,0.403,-2.246545133677775
240,2,279.9615748,80.54427599,0.006514794,0.41,-2.482959556238657
241,2,1079.893526,19.88187394,0.00457977,0.41,-2.6060413619425646
242,3,-58.22680593,3.621499605,0.008340764,0.415,-2.393652874284264
243,6,-75.36025603,4.419562573,0.016617074,0.403,-2.1292431570032666
244,1,73.42513338,14.23794917,0.010148055,0.49,-2.3208283460426453
245,5,34.15085561,4.091738057,0.015441415,0.64,-2.1585791727082473
246,6,-45.93484358,4.849902191,0.015911894,0.403,-2.1466169671879682
247,2,993.221655,71.47544563,0.006542859,0.41,-2.4814279012364144
248,6,-72.76821168,9.722179272,0.018077509,0.403,-2.095179735188859
249,5,-120.5822155,3.167030255,0.016981103,0.64,-2.1205201271230876
250,2,1231.681232,73.40697964,0.005886867,0.41,-2.5188543743560468
251,5,-49.9599446,8.651097556,0.016552503,0.64,-2.130807478551284
252,6,32.53882838,4.313525258,0.0168425,0.403,-2.1238223663570066
253,6,-76.20832255,0.937142451,0.021460713,0.403,-2.0244737910495916
254,3,-59.99487624,3.339245013,0.011963192,0.415,-2.258309282160525
255,5,42.00800237,6.851182282,0.014208458,0.64,-2.191482206261577
256,5,-60.96670161,5.826313154,0.015945577,0.64,-2.1457722453992094
257,2,874.4330548,106.2199986,0.005941779,0.41,-2.515583333762442
258,5,-74.62886025,12.74074684,0.016977745,0.64,-2.1205998591567603
259,5,114.1212509,1.316254054,0.015129511,0.64,-2.166683153644829
260,2,807.0808325,52.2165396,0.004939921,0.41,-2.580006624107541
261,6,-48.52817465,5.212807234,0.007636146,0.403,-2.4258568735096953
262,5,84.02655628,7.121963539,0.01257365,0.64,-2.2391324412774267
263,6,-40.02079152,7.583492186,0.009728614,0.403,-2.336653119889746
264,2,-632.1781148,95.94118644,0.006491951,0.41,-2.484210533405421
265,5,-104.5390416,8.945228963,0.017394122,0.64,-2.11081467805485
266,1,79.1616086,14.71413534,0.012707837,0.49,-2.2350255105755
267,2,-511.4025419,35.21646911,0.005908855,0.41,-2.51754134107042
268,6,43.77271212,2.895614394,0.02137225,0.403,-2.026197985550967
269,5,-118.8915928,5.263830826,0.016810989,0.64,-2.1245763620159606
270,6,-67.85567999,0.153234999,0.018830527,0.403,-2.078524747219836
271,3,67.83079662,2.794240348,0.010029958,0.415,-2.325225303645269
272,2,482.8630135,42.61584062,0.004249035,0.41,-2.6316126073250943
273,6,46.80785107,1.083409997,0.014099099,0.403,-2.194517907549287
274,5,-108.6490598,9.867906183,0.015614131,0.64,-2.15415189422514
275,6,-57.95462264,7.342519136,0.020311769,0.403,-2.047351976206895
276,5,36.37900364,7.00499262,0.017243218,0.64,-2.114337683327539
277,6,78.42037127,13.58156492,0.008065434,0.403,-2.405941036836603
278,2,-397.0565814,54.32953657,0.004000158,0.41,-2.6520564714942383
279,5,71.71943463,11.4520927,0.013099124,0.64,-2.2232603720605706
280,6,-76.22992399,0.001769978,0.011394918,0.403,-2.2769395449500736
281,5,100.1434914,12.49744243,0.015363897,0.64,-2.1605800482537485
282,5,117.0759224,17.40669452,0.016962579,0.64,-2.120960127259592
283,6,65.08869273,3.459809314,0.012597021,0.403,-2.2384144283090244
284,5,-75.3589362,7.427175477,0.014478451,0.64,-2.18407275944466
285,5,44.67206536,1.480794109,0.015433956,0.64,-2.1587713271248345
286,5,76.02377776,3.508918266,0.017439349,0.64,-2.1097638927615283
287,2,571.8935825,108.342473,0.004915538,0.41,-2.5817149090032787
288,2,-1142.3908,102.4016965,0.005959785,0.41,-2.5145165735972643
289,6,-30.06361081,4.285016475,0.019147079,0.403,-2.0716921702350657
290,5,122.7967085,15.23874297,0.013922769,0.64,-2.1994556689956837
291,1,-43.06757338,11.39236892,0.008095859,0.49,-2.4045651908752865
292,2,-1058.105561,94.83373539,0.004826281,0.41,-2.588033402777969
293,6,45.51079242,5.656353732,0.013369857,0.403,-2.2152965864877245
294,5,-105.2254461,2.281410194,0.013262358,0.64,-2.218441913368657
295,6,87.42212089,0.924586299,0.012463463,0.403,-2.2425332940278246
296,5,-49.40604067,4.647162947,0.015429304,0.64,-2.158891209611874
297,6,35.57129848,1.502008773,0.020328043,0.403,-2.04702035517082
298,5,-86.25719856,12.83895211,0.016221733,0.64,-2.138903728877622
299,5,113.4055378,19.54504532,0.012949471,0.64,-2.2277237537946197
300,6,-61.09444831,2.154715871,0.010238475,0.403,-2.3174919253855712
301,6,60.88152419,3.139705692,0.022111882,0.403,-2.0119636966244907
302,2,-667.4423221,84.90973625,0.004022471,0.41,-2.650177803758072
303,6,86.13722714,8.436062787,0.011746716,0.403,-2.265313764022796
304,2,285.0975412,104.3842346,0.006527256,0.41,-2.4822787203165144
305,5,-87.40185044,15.32072863,0.013545826,0.64,-2.2101947094276637
306,2,1140.52206,58.0949579,0.004424755,0.41,-2.6178137201751035
307,2,-383.8498278,57.73093567,0.005050277,0.41,-2.5723677421311804
308,2,755.6068126,40.77726185,0.004808527,0.41,-2.5893026128819265
309,1,-50.46442948,11.35928507,0.015420283,0.49,-2.1591237701076955
310,6,75.47538686,4.759951688,0.007849518,0.403,-2.4158381926421106
311,2,896.4193138,72.28773441,0.005008467,0.41,-2.575244187927088
312,2,888.3963779,23.59904197,0.004620157,0.41,-2.6030326995381388
313,2,673.2352018,72.855101,0.004430511,0.41,-2.6173700528931896
314,2,-824.2690299,43.66512961,0.006254096,0.41,-2.4974731985665386
315,5,7.128037154,0.386602062,0.017572287,0.64,-2.106688680923513
316,6,-63.80610218,9.803466443,0.02175372,0.403,-2.0188054922273806
317,2,361.621816,21.0869107,0.004763727,0.41,-2.592523976564806
318,2,-379.6026624,11.44042609,0.004707025,0.41,-2.596640120117585
319,1,33.4932116,13.86461611,0.01673225,0.49,-2.1264657277314924
320,2,-922.2667214,32.51205645,0.005460924,0.41,-2.5451894006698206
321,5,-55.80539933,5.293782695,0.015659183,0.64,-2.153003976766931
322,6,-78.47577082,12.77873918,0.01479329,0.403,-2.1755813384272225
323,6,-35.48427075,6.944287869,0.007938168,0.403,-2.41174603609235
324,6,-74.9413783,12.23523304,0.016595574,0.403,-2.129763445564733
325,6,95.11924951,10.64718235,0.017068224,0.403,-2.118456230704315
326,2,275.133094,33.09662873,0.004978819,0.41,-2.577296900022032
327,2,946.0515095,60.81384387,0.00535437,0.41,-2.5520621970703434
328,5,-33.61363411,0.145969528,0.0129954,0.64,-2.226349205163703
329,6,99.12806913,14.36800329,0.022487885,0.403,-2.0048810036187144
330,3,-64.42670979,1.452527836,0.0103386,0.415,-2.3138272495559993
331,1,-39.1104708,10.41782062,0.011339542,0.49,-2.2787978630936587
332,5,65.65018594,0.039068843,0.014222484,0.64,-2.1910943156461853
333,5,47.0472448,4.91897969,0.013055788,0.64,-2.2245483093500025
334,6,-59.77529656,0.421331221,0.007913788,0.403,-2.4128674137639625
335,6,82.00238934,14.37166221,0.007870124,0.403,-2.414883390133914
336,2,-630.1519162,37.65412706,0.005616685,0.41,-2.5353541357738445
337,2,-915.8299226,86.93232341,0.00563368,0.41,-2.534295722479224
338,2,-1000.797459,101.3022829,0.004329576,0.41,-2.625225807403628
339,2,856.1056087,50.35310659,0.004610149,0.41,-2.603776059467793
340,1,-36.19012761,12.75731026,0.004463846,0.49,-2.614810701189323
341,5,-34.71626267,4.221424319,0.014241404,0.64,-2.190571602633262
342,6,-52.22231082,8.999862535,0.018409545,0.403,-2.0877644261494135
343,5,-69.02425342,11.39639841,0.016563919,0.64,-2.13053053059486
344,6,-49.3808708,5.987994452,0.015969648,0.403,-2.1451695156466792
345,6,42.06517351,2.246937683,0.015960339,0.403,-2.145402517462231
346,5,-44.23672609,4.965709312,0.01381768,0.64,-2.202424171800426
347,5,-41.65279875,3.475129718,0.013165242,0.64,-2.2213024358420697
348,3,-61.92749471,1.274128613,0.008835495,0.415,-2.372440897823478
349,2,746.8524655,29.36086833,0.003689253,0.41,-2.6792600740781976
350,6,-73.40125978,9.252814514,0.012314932,0.403,-2.2471590532572683
351,1,-62.36064683,11.77997541,0.006546967,0.49,-2.481204193717785
352,2,744.5822173,98.84906657,0.005080433,0.41,-2.5703062025328696
353,5,94.96348833,16.97766434,0.012698807,0.64,-2.235300702275078
354,5,-102.5987619,0.670636869,0.016972286,0.64,-2.1207295059141824
355,5,-19.94058332,1.81162956,0.016185091,0.64,-2.139809291718072
356,5,73.83345434,13.71272397,0.013868829,0.64,-2.2009769170245472
357,5,-30.86619103,1.276900555,0.012711522,0.64,-2.234913257813637
358,3,-56.01422403,2.166618609,0.011085291,0.415,-2.287432656446215
359,2,254.546283,72.28550605,0.005407456,0.41,-2.548623070427003
360,2,-496.7731045,99.25697812,0.005639901,0.41,-2.533909000299279
361,6,71.48332819,12.85624433,0.013792634,0.403,-2.2031345311882746
362,5,-95.33384279,0.467828167,0.013427391,0.64,-2.2136221544475294
363,2,-790.4336773,108.8826683,0.006535422,0.41,-2.481833210807392
364,3,54.23741825,1.504022183,0.008127724,0.415,-2.4031290901518454
365,2,597.3561088,108.4139995,0.005852537,0.41,-2.520913144934256
366,5,-121.2551588,1.578438353,0.012918837,0.64,-2.228642903831709
367,5,-82.45107433,15.83175475,0.016951285,0.64,-2.1212285950051246
368,5,-78.25491862,9.140671846,0.016097841,0.64,-2.141972661745293
369,6,-42.1261463,5.506900351,0.011873888,0.403,-2.2611854453859332
370,2,-747.106947,11.9619859,0.005514249,0.41,-2.5417945438083054
371,2,-472.0616381,15.44053182,0.003956197,0.41,-2.655785436980824
372,2,997.3864964,65.9444408,0.004969781,0.41,-2.5779248215645136
373,2,-683.2665371,101.3516472,0.004800849,0.41,-2.5898527975067718
374,5,64.75643735,8.072400281,0.016319095,0.64,-2.1365060300256573
375,6,62.37641626,10.44894236,0.017887222,0.403,-2.0994818742026102
376,6,59.46752894,2.851735757,0.016845995,0.403,-2.1237388122923155
377,5,-22.86851399,1.259785422,0.012942305,0.64,-2.227938595610222
378,2,-378.6165929,49.91142886,0.003885395,0.41,-2.6618699303659015
379,2,-915.7033166,82.14120592,0.0063834,0.41,-2.490208987492051
380,5,-99.68632003,0.799952758,0.017509567,0.64,-2.1081370785385602
381,2,402.2030054,28.17000438,0.005833279,0.41,-2.522072742298646
382,5,109.035569,8.606862908,0.014205095,0.64,-2.191575259432305
383,5,63.66648063,3.563628488,0.015112501,0.64,-2.167129225980601
384,2,528.099856,14.46819747,0.00390337,0.41,-2.6603158681996524
385,5,-101.2225848,5.411879662,0.012488443,0.64,-2.2417600267460007
386,2,-381.8280219,103.1680955,0.005444497,0.41,-2.5462411369926077
